date,user_id,app,sessions,minutes_used,feature_actions,errors,seat_cost_usd
2026-01-02,1,Notion,3,24,12,0,10
2026-01-02,2,Slack,1,3,17,0,12
2026-01-02,3,Google Workspace,2,3,13,0,12
2026-01-02,4,HubSpot,7,76,35,0,120
2026-01-02,6,Google Workspace,1,3,14,0,12
2026-01-02,6,Slack,1,36,8,0,12
2026-01-02,10,Slack,2,9,11,0,12
2026-01-02,14,Salesforce,7,38,40,0,150
2026-01-02,15,Google Workspace,5,24,11,0,12
2026-01-02,15,Slack,3,7,14,0,12
2026-01-02,15,Jira,3,39,5,0,8
2026-01-02,16,Notion,1,31,6,0,10
2026-01-02,23,Notion,1,21,14,0,10
2026-01-02,23,Slack,4,10,2,0,12
2026-01-02,23,Zendesk,1,16,1,0,90
2026-01-02,26,Google Workspace,7,46,32,0,12
2026-01-02,29,Notion,1,24,23,0,10
2026-01-02,29,Google Workspace,1,13,9,0,12
2026-01-02,33,Jira,2,53,32,0,8
2026-01-02,33,HubSpot,7,78,34,0,120
2026-01-02,39,Google Workspace,2,21,12,0,12
2026-01-02,42,Slack,2,38,14,0,12
2026-01-02,42,Zendesk,5,7,2,0,90
2026-01-02,46,Jira,6,38,54,0,8
2026-01-02,50,Google Workspace,6,14,40,0,12
2026-01-02,55,Jira,3,7,16,0,8
2026-01-02,56,Slack,4,36,1,0,12
2026-01-02,56,HubSpot,1,46,19,0,120
2026-01-02,57,Notion,4,3,9,0,10
2026-01-02,57,Slack,2,15,20,0,12
2026-01-02,57,Salesforce,1,29,15,0,150
2026-01-02,59,HubSpot,4,71,34,0,120
2026-01-02,61,Jira,2,21,4,0,8
2026-01-02,62,Google Workspace,1,14,3,0,12
2026-01-02,62,Slack,2,7,17,0,12
2026-01-02,64,Notion,1,24,8,0,10
2026-01-02,66,Notion,4,22,24,0,10
2026-01-02,71,Zendesk,4,88,65,0,90
2026-01-02,76,Notion,3,63,25,0,10
2026-01-02,76,Salesforce,3,63,32,0,150
2026-01-02,77,Google Workspace,3,29,19,0,12
2026-01-02,77,Slack,1,19,14,0,12
2026-01-02,78,Salesforce,6,47,13,0,150
2026-01-02,82,HubSpot,3,12,12,0,120
2026-01-02,83,HubSpot,5,17,21,0,120
2026-01-02,85,Salesforce,4,41,22,0,150
2026-01-02,89,Salesforce,2,23,12,0,150
2026-01-02,89,HubSpot,1,32,6,0,120
2026-01-02,91,Google Workspace,3,25,13,0,12
2026-01-02,91,Slack,1,26,14,0,12
2026-01-02,93,Google Workspace,5,54,5,2,12
2026-01-02,98,Slack,2,19,3,0,12
2026-01-02,99,Notion,4,28,5,0,10
2026-01-02,104,Google Workspace,1,27,1,0,12
2026-01-02,104,Jira,1,27,7,0,8
2026-01-02,105,Notion,4,20,15,0,10
2026-01-02,106,Zendesk,3,10,3,0,90
2026-01-02,106,HubSpot,2,33,17,0,120
2026-01-02,112,Slack,2,17,24,0,12
2026-01-02,121,Google Workspace,4,21,18,2,12
2026-01-02,121,Slack,1,20,19,2,12
2026-01-02,121,Jira,4,27,20,0,8
2026-01-02,122,Google Workspace,3,27,18,0,12
2026-01-02,122,Slack,4,22,23,0,12
2026-01-02,124,Notion,2,42,1,0,10
2026-01-02,124,Slack,3,12,18,1,12
2026-01-02,125,HubSpot,2,26,11,0,120
2026-01-02,130,Google Workspace,2,35,4,0,12
2026-01-02,130,Salesforce,2,12,13,0,150
2026-01-02,135,Notion,6,35,32,0,10
2026-01-02,135,Slack,5,70,43,0,12
2026-01-02,138,Zendesk,4,29,16,0,90
2026-01-02,138,HubSpot,3,7,18,0,120
2026-01-02,148,Google Workspace,5,21,18,0,12
2026-01-02,150,HubSpot,3,20,22,0,120
2026-01-02,151,HubSpot,3,66,5,0,120
2026-01-02,153,Slack,6,60,60,0,12
2026-01-02,156,Notion,4,11,15,0,10
2026-01-02,157,Google Workspace,1,38,14,0,12
2026-01-02,158,Google Workspace,1,10,1,0,12
2026-01-02,158,HubSpot,2,38,16,0,120
2026-01-02,160,Zendesk,4,20,19,0,90
2026-01-02,164,Slack,4,69,39,0,12
2026-01-02,164,HubSpot,7,40,35,0,120
2026-01-02,165,Salesforce,4,3,19,0,150
2026-01-02,165,Jira,3,32,17,0,8
2026-01-02,169,HubSpot,2,17,5,0,120
2026-01-02,172,Notion,3,5,26,0,10
2026-01-02,172,Jira,1,27,4,0,8
2026-01-02,175,Google Workspace,4,35,4,0,12
2026-01-02,178,Google Workspace,3,35,17,0,12
2026-01-02,178,HubSpot,2,23,13,0,120
2026-01-02,179,Zendesk,5,58,61,0,90
2026-01-03,1,Jira,1,22,7,0,8
2026-01-03,3,Slack,3,11,10,0,12
2026-01-03,4,Salesforce,3,23,47,0,150
2026-01-03,8,Slack,3,34,7,0,12
2026-01-03,10,Notion,2,40,11,0,10
2026-01-03,10,Salesforce,1,28,18,2,150
2026-01-03,10,Slack,2,14,22,0,12
2026-01-03,14,Google Workspace,7,85,12,0,12
2026-01-03,16,Salesforce,3,26,14,0,150
